,Account,Post,Tag,Likes,Comments
0,__dhdhe,"[Opini]
Islam di dunia. Ada apa dengan dunia ini?  Ada apa dengan Indonesia ku ini. Saya sebagai anak muda masih belum begitu paham apa yang benar dan apa yang salah. Masih belom sadar mana yang hasan dan yang zholim. Saya menerima informasi yang berbeda, ya terdapat dua sisi. Dan saya terlalu sering mendapat informasi yang bisa dibilang condong ke sayap kanan. Misalnya,  menolak RUU PKS, menolak bahwa bendera hitam itu tidak berarti orang HTI,  setuju bahwa orang islam saat ini sedang  uji.  Seperti di India, bahkan di negara Indonesia ini yang mayoritas orang islam. Mendengar cerita masyarakat muslim terlebih lg muslimah di Ughyur yang menyesakkan dada,  dan takut akan menimpa di Indonesia. Dunia berubah tiap harinya.  Tiap berganti program atau kebijakan,  suara pemimpin dan orang-orang diatas didengar,  tanpa mendengar jeritan orang-orang dibawah.  Pentingkah suara kami sebenarnya? Seperti itu,  hanya contoh.",[],0,[]
1,__dhdhe,Tamparan#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu  #hijrah,"['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'hijrah']",50,"['Ayo dukung Kota Batu sebagai perwakilan Provinsi Jawa Timur dalam lomba GAPURA CINTA NEGERI, Dengan Klik ""LIKE"" pada postingan di @festivalgapura Kota Batu. Mention temanmu sebanyak-banyaknya ']"
2,__dhdhe,"Dari blognya ust @salimafillah 
Jazakallah khoir ust ilmu nyaaa #puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu  #hijrah #ustsalimafillah","['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'hijrah', 'ustsalimafillah']",32,"['Ayo dukung Kota Batu sebagai perwakilan Provinsi Jawa Timur dalam lomba GAPURA CINTA NEGERI, Dengan Klik ""LIKE"" pada postingan di @festivalgapura Kota Batu. Mention temanmu sebanyak-banyaknya ']"
3,__dhdhe,#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu  #hijrah,"['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'hijrah']",36,"['Barakallah brother udah denger podcastsku  semoga bermanfaat , mampir lagi yaa ', 'Aamiin. Siap baang.. Btw saya sister bang wkwkwk']"
4,__dhdhe,"Karena aku mencintaimu karena Allah, dan aku iklas
#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu  #hijrah","['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'hijrah']",25,['Postingannya keren! Ikuti @thomas_gintings Untuk update tips dan informasi menarik.']
5,__dhdhe,"Terimakasih kepada para penulis.. Saya yakin,  pesan ini pasti ditulisnya eh di ketiknya dengan kekuatan hati,  karena masuk sekali ke hati 
#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu  #hijrah","['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'hijrah']",9,['Postingannya keren! Ikuti @thomas_gintings Untuk update tips dan informasi menarik.']
6,__dhdhe,Motivasi hari ini... Barakallah kak @hawaariyyun.. #puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu  #hijrah,"['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'hijrah']",16,[]
7,__dhdhe,#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu  #hijrah,"['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'hijrah']",9,['Postingannya keren! Ikuti @thomas_gintings Untuk update tips dan informasi menarik.']
8,__dhdhe,#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu  #hijrah,"['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'hijrah']",26,[]
9,__dhdhe,#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu #quotesbaper,"['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'quotesbaper']",28,['Postingannya keren! Ikuti @thomas_gintings Untuk update tips dan informasi menarik.']
10,__dhdhe,#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu #quotesbaper,"['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'quotesbaper']",15,[]
11,__dhdhe,#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu #quotesbaper,"['puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'quotesbaper']",17,[]
12,__dhdhe,"Kopi Turki.. Omaygat.. Love

Reposted from @istanbullezzet -         - #regrann",['regrann'],1,[]
13,__dhdhe,"#friendshipquotes #sahabatuntiljannah 
#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu #quotesbaper","['friendshipquotes', 'sahabatuntiljannah', 'puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'quotesbaper']",1,[]
14,__dhdhe,"#ayah #rinduayah #suratcinta #papa #rindu #strong #motivasi 
#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu #quotesbaper","['ayah', 'rinduayah', 'suratcinta', 'papa', 'rindu', 'strong', 'motivasi', 'puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'quotesbaper']",19,[]
15,__dhdhe,"#selfreminder #hijrah #akhwat #motivasi
#puisisenja #puisisahabat #sahabatsejati #puisihidup #puisikehidupan #puisipendek #menulispuisi #kelasmenulis #menulisonline #nulispuisi #nulisasik #nulisyuk #belajarmenulis #belajarnulis #puisiperempuan #puisicinta #quotesmahasiswa #quotesperempuan #quotespelajar #quotescewek #tipsmenulis #quotesrindu #quotesbaper","['selfreminder', 'hijrah', 'akhwat', 'motivasi', 'puisisenja', 'puisisahabat', 'sahabatsejati', 'puisihidup', 'puisikehidupan', 'puisipendek', 'menulispuisi', 'kelasmenulis', 'menulisonline', 'nulispuisi', 'nulisasik', 'nulisyuk', 'belajarmenulis', 'belajarnulis', 'puisiperempuan', 'puisicinta', 'quotesmahasiswa', 'quotesperempuan', 'quotespelajar', 'quotescewek', 'tipsmenulis', 'quotesrindu', 'quotesbaper']",2,[]
16,zaidanprtm,"Alohomora! The key to the main show is open, 
I'm Zaidan

I'm supporting KARASEL closing stage Bazkom 2018, and I am ready to explore the light in the darkness on Saturday, 20 October 2018 at SMAN 68 Jakarta to prevail over The Darkest Era together! There will be performances by:
Kunto Aji
Tompi
Stars and Rabbit
The Groove
The Upstairs

Don't forget to qualify yourself by purchasing the tickets through: LINE @dbk1023v

We've all got both light and dark inside us. What matters is the part we choose to act on. That's who we really are

Recite the spells,Rewrite the tales
#KARASEL2018",['karasel2018'],173,"['mafia', 'wow cool pic bro!']"
17,zaidanprtm,"[KELOMPOK 3 PKKMB FMIPA UNJ 2018] ""Dua kekuatan yang berhasil memengaruhi pendidikan manusia adalah seni dan sains, keduanya bertemu dalam buku."" -Maxim Gorky.

Keluar negeri dengan buku? Memangnya bisa? Bisa! Itulah mengapa buku dijuluki jendela dunia, melalui buku kita bisa memperluas wawasan dan menambah ilmu kita. Mari kita tanam budaya literasi sejak dini untuk menghasilkan generasi penerus yang cerdas dan berilmu.



FULL VIDEO CHECK THIS LINK OR CHECK MY BIO
Like and subscribe
https://youtu.be/-7AqbBPoIFk

#PKKMB2018
#PenggerakPeradaban
#BeraniBerkarya
#Bermanfaat
#BaktikuUntukIndonesiaMaju
@pkkmbfmipaunj 
#AksiSosial
#SocialMovement","['pkkmb2018', 'penggerakperadaban', 'beraniberkarya', 'bermanfaat', 'baktikuuntukindonesiamaju', 'aksisosial', 'socialmovement']",109,"['Gamau like ah kamunya dikit', 'Gausah spam like di line ya dan, dah gua like', 'Follback']"
